num,data_div,scale_index,average
10,10,0,0.009237442119453725
10,10,1,0.04062918340026773
10,10,2,0.06586927419824223
10,10,3,0.06880960732240984
10,10,4,0.039819819819819816
10,20,0,0.03436785651485845
10,20,1,0.07259181654152844
10,20,2,0.09785976202948439
10,20,3,0.1070601793856792
10,20,4,0.08452339436210404
10,30,0,0.11132114178535843
10,30,1,0.17126102754704114
10,30,2,0.22376711816208936
10,30,3,0.22282678592306793
10,30,4,0.1821885249304604
10,40,0,0.17775963559329128
10,40,1,0.22685275262540844
10,40,2,0.2542605203422385
10,40,3,0.24655384075762887
10,40,4,0.2015840494872753
12,10,0,0.02759216927495458
12,10,1,0.08622107477529163
12,10,2,0.12403236132937547
12,10,3,0.10640460323027844
12,10,4,0.05744551002615519
12,20,0,0.054395990856339026
12,20,1,0.10730125470827409
12,20,2,0.15479745067225423
12,20,3,0.15055995390088692
12,20,4,0.10426620168555653
12,30,0,0.12349552446264243
12,30,1,0.19414344749598808
12,30,2,0.246700258591301
12,30,3,0.24287927377194296
12,30,4,0.21807614065678582
12,40,0,0.16352248653989468
12,40,1,0.20488413280450998
12,40,2,0.22453977400284367
12,40,3,0.20230516443687258
12,40,4,0.16479075850043592
14,10,0,0.05396811441298868
14,10,1,0.13489943209691768
14,10,2,0.20124473047469382
14,10,3,0.220170032235974
14,10,4,0.1888317349607672
14,20,0,0.11672276788330946
14,20,1,0.20282912187050478
14,20,2,0.26827433959440244
14,20,3,0.27289338744968344
14,20,4,0.2581101839166355
14,30,0,0.21776524571495556
14,30,1,0.25683437684485355
14,30,2,0.28813764374267253
14,30,3,0.26941528452840274
14,30,4,0.24209864242122303
14,40,0,0.23338566655781356
14,40,1,0.29114096136097184
14,40,2,0.32415209492213154
14,40,3,0.3359535501327855
14,40,4,0.3325918545273384
16,10,0,0.03955805638590938
16,10,1,0.07616719465855139
16,10,2,0.08120016297072347
16,10,3,0.07027275308580114
16,10,4,0.046370241208950884
16,20,0,0.03401617724635132
16,20,1,0.06793987544380421
16,20,2,0.0860951050579128
16,20,3,0.08638531175360357
16,20,4,0.06654751525719267
16,30,0,0.04360529863431217
16,30,1,0.07022292066817996
16,30,2,0.08400558756766195
16,30,3,0.0795268159877069
16,30,4,0.06413542574832898
16,40,0,0.050805931656995484
16,40,1,0.09042193619197285
16,40,2,0.10298003608637447
16,40,3,0.09668620868199963
16,40,4,0.0728480092996222
18,10,0,0.04264111130648848
18,10,1,0.0949321093899407
18,10,2,0.12720592514987483
18,10,3,0.11667919359957242
18,10,4,0.07596338273757629
18,20,0,0.08687357130297169
18,20,1,0.1528902358918074
18,20,2,0.19067200478934368
18,20,3,0.19036344808003872
18,20,4,0.147146178436501
18,30,0,0.1473565441650548
18,30,1,0.22424106363341562
18,30,2,0.2576388369211837
18,30,3,0.259472657881111
18,30,4,0.21227840743969772
18,40,0,0.3462290771768528
18,40,1,0.442926363840455
18,40,2,0.4852956338812808
18,40,3,0.4743769938701542
18,40,4,0.40204736995059576
50,10,0,0.031592827004219406
50,10,1,0.03783333333333333
50,10,2,0.03728093312232577
50,10,3,0.021165733613249357
50,10,4,0.007555400453673006
50,20,0,0.03477203469292076
50,20,1,0.04944152046783626
50,20,2,0.04938456128011253
50,20,3,0.03569095937885301
50,20,4,0.017308123738066155
50,30,0,0.049561943272386305
50,30,1,0.06140810359231412
50,30,2,0.07101283629330049
50,30,3,0.06325810590156286
50,30,4,0.0470772989007154
50,40,0,0.05134200656352555
50,40,1,0.056264828738512955
50,40,2,0.061038542373165194
50,40,3,0.047450348228864674
50,40,4,0.03515259532534005
52,10,0,0.08045760498292143
52,10,1,0.10508939014202172
52,10,2,0.1044721880311822
52,10,3,0.0803912992768836
52,10,4,0.053228473382024244
52,20,0,0.050809138704708316
52,20,1,0.08628070175438596
52,20,2,0.08700545102866186
52,20,3,0.06814663934153088
52,20,4,0.041508587381907915
52,30,0,0.05932142019958475
52,30,1,0.08871929824561402
52,30,2,0.09628392239610807
52,30,3,0.08494868206204804
52,30,4,0.05687821455575774
52,40,0,0.08834450974482619
52,40,1,0.10521052631578948
52,40,2,0.10824687884649198
52,40,3,0.10031698823686226
52,40,4,0.07707995779013052
54,10,0,0.029949015471167365
54,10,1,0.05737719298245613
54,10,2,0.06103686770998183
54,10,3,0.05618772701522876
54,10,4,0.03867853196068167
54,20,0,0.03972398030942335
54,20,1,0.060453216374269
54,20,2,0.07106265752300568
54,20,3,0.05513221033689893
54,20,4,0.03911184784505322
54,30,0,0.03709710501640881
54,30,1,0.03471637426900585
54,30,2,0.03471074380165289
54,30,3,0.03018302842480589
54,30,4,0.0255672989838057
54,40,0,0.04716947960618846
54,40,1,0.058233918128654964
54,40,2,0.06504308071039212
54,40,3,0.06057599386850611
54,40,4,0.055819228755889023
56,10,0,0.05912447257383967
56,10,1,0.08396198830409356
56,10,2,0.07700310650020514
56,10,3,0.05424830884068112
56,10,4,0.030407724073750943
56,20,0,0.0808734763244257
56,20,1,0.11495906432748537
56,20,2,0.11923099466619776
56,20,3,0.0969034289713086
56,20,4,0.06490764513797143
56,30,0,0.09077443741209565
56,30,1,0.11904260651629074
56,30,2,0.11687181290662915
56,30,3,0.09474574294378352
56,30,4,0.06616646309544581
56,40,0,0.08986169714017815
56,40,1,0.10613157894736842
56,40,2,0.10801242600082059
56,40,3,0.1016707487753674
56,40,4,0.07920956203105914
58,10,0,0.10090834505391467
58,10,1,0.13510233918128653
58,10,2,0.13613504483910674
58,10,3,0.09532015395381384
58,10,4,0.05142790670621765
58,20,0,0.13985290670417252
58,20,1,0.18141102756892227
58,20,2,0.19721461646026445
58,20,3,0.15736695657969277
58,20,4,0.10595798954724098
58,30,0,0.12988622664255578
58,30,1,0.14361319966583125
58,30,2,0.12477203647416413
58,30,3,0.11046935919224231
