num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,21,0.8459653258323669,5,29,0.023211680352687836,9,21,11,21,0.6271171569824219
0,20,2,9,21,0.8028329014778137,5,29,0.09387971460819244,9,21,14,8,0.6278478503227234
0,30,2,9,18,0.7331287264823914,5,29,0.19447241723537445,9,17,14,6,0.6613084077835083
0,40,2,8,28,0.4952106475830078,5,29,0.5527325868606567,8,15,12,1,0.7570204138755798
1,10,2,8,24,0.337235689163208,5,28,0.6993894577026367,8,14,9,2,0.7823992371559143
1,20,2,8,23,0.2846696078777313,5,18,0.7884421348571777,8,12,8,2,0.8542152047157288
1,30,2,8,20,0.3398188650608063,5,22,0.720848560333252,7,29,5,5,0.8161391019821167
1,40,2,8,22,0.30024224519729614,5,17,0.774030327796936,8,11,8,2,0.8513155579566956
2,10,0,9,28,0.37964826822280884,14,29,0.4199972450733185,11,21,11,29,0.4347197413444519
2,20,0,8,29,0.4376845955848694,14,29,0.43287426233291626,13,17,12,28,0.5642072558403015
2,30,0,8,29,0.40414100885391235,14,19,0.46674853563308716,9,19,10,17,0.5843924880027771
2,40,0,8,29,0.37489956617355347,14,4,0.6144374012947083,8,29,9,6,0.7058025598526001
3,10,0,8,29,0.3147326707839966,14,2,0.5778360962867737,8,17,9,3,0.6585486531257629
3,20,0,8,29,0.3016112148761749,13,3,0.6358293294906616,9,14,12,3,0.682655394077301
3,30,0,8,27,0.29054564237594604,11,2,0.6642149090766907,9,8,13,1,0.7355542182922363
3,40,0,8,25,0.26808905601501465,14,1,0.6961674094200134,9,7,12,1,0.7740282416343689
4,10,1,8,19,0.5063768625259399,5,7,0.45698124170303345,8,20,10,5,0.5265113711357117
4,20,1,8,19,0.4344283640384674,5,8,0.5108440518379211,8,20,8,4,0.5097476243972778
