num,data_div,unrestricted_axis,scale_index,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
10,10,2,0,13,25,0.2534165680408478,5,29,-0.017723839730024338,11,25,14,29,0.1627855747938156
10,10,2,1,9,27,0.4849322736263275,5,29,-0.0026048377621918917,9,27,14,14,0.31768473982810974
10,10,2,2,9,21,0.6081947684288025,5,29,-0.03672802448272705,9,21,14,11,0.4322395622730255
10,10,2,3,8,29,0.5776075124740601,5,29,-0.06315533816814423,8,29,14,10,0.4233300983905792
10,10,2,4,8,21,0.43418484926223755,5,29,-0.057605139911174774,8,20,14,9,0.3321830630302429
10,20,2,0,14,19,0.31774693727493286,5,29,0.038602832704782486,11,18,14,14,0.25478193163871765
10,20,2,1,8,29,0.48217716813087463,5,29,0.015815669670701027,8,29,14,6,0.37138816714286804
10,20,2,2,8,29,0.5822212100028992,5,29,0.013312499038875103,8,29,14,9,0.44165289402008057
10,20,2,3,8,29,0.552595317363739,5,29,-0.02075856178998947,8,29,14,27,0.42134690284729004
10,20,2,4,8,19,0.43710845708847046,5,29,-0.03220386058092117,8,19,14,9,0.3392832577228546
10,30,2,0,14,16,0.2618580162525177,4,29,0.13761574029922485,8,15,14,1,0.285126268863678
10,30,2,1,8,23,0.355564683675766,5,29,0.13956710696220398,8,18,14,2,0.36899134516716003
10,30,2,2,8,23,0.41650307178497314,5,29,0.11326920241117477,8,19,14,3,0.3984253406524658
10,30,2,3,8,21,0.3972950875759125,5,29,0.08158236742019653,8,18,14,3,0.37949299812316895
10,30,2,4,8,18,0.3510957360267639,4,29,0.043012652546167374,8,15,14,3,0.3225657045841217
10,40,2,0,8,27,0.19512605667114258,4,6,0.2174721360206604,8,9,13,0,0.30791112780570984
10,40,2,1,8,24,0.25240078568458557,5,29,0.25007814168930054,8,13,12,1,0.3684013783931732
10,40,2,2,8,25,0.28349190950393677,5,29,0.24672317504882812,8,9,14,0,0.3900686204433441
