num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,21,0.8413127660751343,5,29,-0.029686758294701576,9,21,14,10,0.6105222702026367
0,20,2,9,20,0.831623375415802,5,29,0.06901966035366058,9,19,14,8,0.6500697135925293
0,30,2,8,25,0.7040347456932068,5,29,0.2219342291355133,8,20,13,3,0.6916728019714355
0,40,2,8,22,0.5331142544746399,5,29,0.49467042088508606,8,12,12,1,0.7440828680992126
2,10,0,9,26,0.4259438216686249,14,29,0.4039939343929291,11,20,11,29,0.48115140199661255
2,20,0,8,29,0.45866695046424866,14,29,0.40359166264533997,10,15,10,29,0.5287166833877563
2,30,0,8,29,0.45474156737327576,14,8,0.4296277165412903,9,15,11,8,0.6130897998809814
2,40,0,8,29,0.3730989396572113,14,3,0.5556827783584595,9,14,12,4,0.6672446131706238
4,10,1,8,24,0.4847213327884674,7,5,0.4723008871078491,8,26,9,6,0.5092326998710632
4,20,1,8,21,0.47589200735092163,6,6,0.49217236042022705,8,23,9,6,0.5230222344398499
4,30,1,7,29,0.44803228974342346,4,8,0.5135841369628906,8,14,9,2,0.5294517874717712
4,40,1,8,19,0.4139140844345093,5,6,0.5309271812438965,8,19,7,4,0.5278108716011047
6,10,2,9,29,0.3235507011413574,14,20,0.3650950789451599,13,28,13,29,0.21259726583957672
6,20,2,9,26,0.3668637275695801,14,10,0.4012223780155182,10,29,11,18,0.27611610293388367
6,30,2,9,26,0.3787286877632141,14,10,0.42025184631347656,10,29,11,18,0.27802443504333496
6,40,2,9,26,0.40285348892211914,14,10,0.44582197070121765,11,29,13,16,0.2970537543296814
8,10,2,9,26,0.41756653785705566,14,29,-0.03411518782377243,9,26,14,25,0.15920142829418182
8,20,2,8,29,0.4876880645751953,14,29,-0.033246442675590515,8,29,13,27,0.2359493523836136
8,30,2,8,29,0.35345444083213806,14,29,0.04810072109103203,8,29,10,16,0.2554050385951996
8,40,2,9,27,0.16042611002922058,6,29,0.2087375968694687,8,29,8,7,0.26578691601753235
40,10,2,9,22,0.7657979726791382,14,29,0.029958272352814674,9,21,11,18,0.5901779532432556
40,20,2,9,20,0.7360257506370544,5,29,0.015459434129297733,9,20,11,20,0.5585722923278809
40,30,2,8,23,0.7318654656410217,5,29,0.09560544043779373,9,14,10,28,0.6178959012031555
40,40,2,8,19,0.5838740468025208,5,29,0.33161741495132446,8,12,14,1,0.6626586318016052
42,10,0,9,27,0.6992999315261841,14,29,0.11579449474811554,10,24,11,28,0.5055088996887207
42,20,0,9,26,0.4764787256717682,14,29,0.15615971386432648,9,24,10,29,0.40479740500450134
42,30,0,9,22,0.6462541222572327,14,1,0.15859466791152954,9,20,10,29,0.565719723701477
42,40,0,9,21,0.5288010239601135,11,2,0.3424399495124817,9,18,14,4,0.5893700122833252
44,10,1,8,29,0.5925090909004211,10,3,0.4539293646812439,8,29,10,8,0.5533106327056885
44,20,1,8,28,0.643907368183136,14,3,0.544650137424469,8,29,9,21,0.614885151386261
44,30,1,8,27,0.639145016670227,11,4,0.6678945422172546,8,29,9,9,0.6680540442466736
44,40,1,8,25,0.6001970767974854,11,4,0.663634717464447,8,29,8,12,0.6499980688095093
46,10,2,8,29,0.23509834706783295,6,29,0.2193644642829895,8,29,13,4,0.21672159433364868
46,20,2,9,22,0.5814911127090454,14,7,0.6092907786369324,11,29,14,13,0.5025834441184998
46,30,2,9,23,0.6302207112312317,14,7,0.6354061961174011,10,26,11,17,0.5393438935279846
46,40,2,8,29,0.6305547952651978,14,6,0.6531328558921814,10,25,11,16,0.5555518269538879
48,10,2,8,29,0.48511165380477905,14,29,0.0162388663738966,8,29,10,29,0.35127943754196167
48,20,2,9,20,0.5160428285598755,14,29,0.047737203538417816,9,19,10,29,0.36129799485206604
48,30,2,8,27,0.5639050602912903,14,29,0.03642209991812706,8,26,10,23,0.4647104740142822
48,40,2,9,20,0.3769598603248596,5,29,0.1907031536102295,8,29,11,4,0.38430991768836975
