num,data_div,unrestricted_axis,A_fit_arg0,A_fit_arg1,A_fit,E_fit_arg0,E_fit_arg1,E_fit,AE_fit_arg0,AE_fit_arg1,AE_fit_arg2,AE_fit_arg3,AE_fit
0,10,2,9,24,0.8681484460830688,5,29,-0.011613059788942337,9,24,11,25,0.6024033427238464
0,20,2,9,21,0.7355820536613464,5,29,0.09729354083538055,9,20,14,7,0.601213812828064
0,30,2,8,25,0.6189687252044678,5,29,0.3133789300918579,8,18,13,2,0.6859993934631348
0,40,2,8,22,0.5724656581878662,5,29,0.4876326322555542,8,13,13,1,0.7602237462997437
2,10,0,9,27,0.39358004927635193,14,29,0.4253295361995697,13,18,12,29,0.45225682854652405
2,20,0,9,24,0.419717401266098,14,29,0.413730263710022,13,17,12,28,0.48651787638664246
2,30,0,8,29,0.47764837741851807,14,29,0.41568461060523987,10,15,10,29,0.5795415639877319
2,40,0,8,29,0.348810613155365,14,3,0.5416579246520996,9,11,12,3,0.6487122774124146
4,10,1,8,23,0.48954641819000244,7,5,0.44162726402282715,8,26,9,11,0.4935750365257263
4,20,1,8,20,0.46992677450180054,5,7,0.4768804609775543,8,20,9,5,0.5171881914138794
4,30,1,8,18,0.4199419319629669,5,6,0.49627596139907837,8,18,8,4,0.5062861442565918
4,40,1,8,18,0.4416496455669403,5,6,0.5541407465934753,8,19,8,4,0.5529736876487732
6,10,2,9,27,0.35646453499794006,14,12,0.3969714045524597,11,29,12,21,0.25616949796676636
6,20,2,9,28,0.31806957721710205,14,13,0.35727739334106445,12,29,13,23,0.2185388207435608
6,30,2,9,29,0.32169440388679504,14,12,0.3527177572250366,10,29,11,18,0.2192590832710266
6,40,2,9,26,0.38701221346855164,14,11,0.4412464201450348,10,29,11,17,0.28710395097732544
8,10,2,8,29,0.4578009247779846,14,29,-0.056336112320423126,8,29,14,21,0.24049001932144165
8,20,2,8,29,0.48534244298934937,14,29,-0.0862070769071579,8,29,14,21,0.268118679523468
